#shift stepIter stepRayleigh eig(iter) eig(rayleigh)
379 1000 47 1.99716 2
380 1000 47 1.99713 2
381 1000 47 1.9971 2
382 1000 47 1.99707 2
383 1000 47 1.99704 2
384 1000 47 1.99701 2
385 1000 47 1.99699 2
386 1000 47 1.99696 2
387 1000 47 1.99693 2
388 1000 47 1.9969 2
389 1000 47 1.99687 2
390 1000 47 1.99684 2
391 1000 47 1.99681 2
392 1000 47 1.99678 2
393 1000 47 1.99675 2
394 1000 48 1.99672 2
395 1000 48 1.99669 2
396 1000 48 1.99666 2
397 1000 48 1.99663 2
398 1000 48 1.9966 2
399 1000 48 1.99657 2
400 1000 48 1.99654 2
401 1000 48 1.99651 2
402 1000 48 1.99648 2
403 1000 48 1.99645 2
404 1000 48 1.99642 2
405 1000 48 1.99639 2
406 1000 48 1.99636 2
407 1000 48 1.99633 2
408 1000 48 1.9963 2
409 1000 48 1.99627 2
410 1000 48 1.99623 2
411 1000 48 1.9962 2
412 1000 48 1.99617 2
413 1000 48 1.99614 2
414 1000 48 1.99611 2
415 1000 48 1.99608 2
416 1000 48 1.99604 2
417 1000 48 1.99601 2
418 1000 48 1.99598 2
419 1000 48 1.99595 2
420 1000 48 1.99592 2
421 1000 48 1.99588 2
422 1000 48 1.99585 2
423 1000 48 1.99582 2
424 1000 48 1.99579 2
425 1000 48 1.99575 2
426 1000 48 1.99572 2
427 1000 48 1.99569 2
428 1000 48 1.99566 2
429 1000 48 1.99562 2
430 1000 48 1.99559 2
431 1000 48 1.99556 2
432 1000 48 1.99552 2
433 1000 48 1.99549 2
434 1000 48 1.99546 2
435 1000 48 1.99542 2
436 1000 48 1.99539 2
437 1000 48 1.99536 2
438 1000 48 1.99532 2
439 1000 48 1.99529 2
440 1000 48 1.99525 2
441 1000 48 1.99522 2
442 1000 48 1.99519 2
443 1000 48 1.99515 2
444 1000 48 1.99512 2
445 1000 48 1.99508 2
446 1000 48 1.99505 2
447 1000 48 1.99502 2
448 1000 48 1.99498 2
449 1000 48 1.99495 2
450 1000 48 1.99491 2
451 1000 48 1.99488 2
452 1000 48 1.99484 2
453 1000 48 1.99481 2
454 1000 48 1.99477 2
455 1000 48 1.99474 2
456 1000 48 1.9947 2
457 1000 48 1.99467 2
458 1000 48 1.99463 2
459 1000 48 1.9946 2
460 1000 48 1.99456 2
461 1000 48 1.99453 2
462 1000 48 1.99449 2
463 1000 48 1.99446 2
464 1000 48 1.99442 2
465 1000 48 1.99439 2
466 1000 48 1.99435 2
467 1000 48 1.99432 2
468 1000 48 1.99428 2
469 1000 48 1.99424 2
470 1000 48 1.99421 2
471 1000 48 1.99417 2
472 1000 48 1.99414 2
473 1000 48 1.9941 2
474 1000 48 1.99406 2
475 1000 48 1.99403 2
476 1000 48 1.99399 2
477 1000 48 1.99396 2
478 1000 48 1.99392 2
479 1000 48 1.99388 2
480 1000 48 1.99385 2
481 1000 48 1.99381 2
482 1000 48 1.99378 2
483 1000 48 1.99374 2
484 1000 48 1.9937 2
485 1000 48 1.99367 2
486 1000 48 1.99363 2
487 1000 48 1.99359 2
488 1000 48 1.99356 2
489 1000 48 1.99352 2
490 1000 48 1.99348 2
491 1000 48 1.99345 2
492 1000 48 1.99341 2
493 1000 48 1.99337 2
494 1000 48 1.99334 2
495 1000 48 1.9933 2
496 1000 48 1.99326 2
497 1000 48 1.99323 2
498 1000 48 1.99319 2
499 1000 48 1.99315 2
500 1000 48 1.99311 2
501 1000 48 1.99308 2
502 1000 48 1.99304 2
503 1000 48 1.993 2
504 1000 48 1.99297 2
505 1000 48 1.99293 2
506 1000 48 1.99289 2
507 1000 48 1.99285 2
508 1000 48 1.99282 2
509 1000 48 1.99278 2
510 1000 48 1.99274 2
511 1000 48 1.9927 2
512 1000 48 1.99267 2
513 1000 48 1.99263 2
514 1000 48 1.99259 2
515 1000 48 1.99255 2
516 1000 48 1.99252 2
517 1000 48 1.99248 2
518 1000 48 1.99244 2
519 1000 48 1.9924 2
520 1000 48 1.99237 2
521 1000 48 1.99233 2
522 1000 48 1.99229 2
523 1000 48 1.99225 2
524 1000 48 1.99222 2
525 1000 48 1.99218 2
526 1000 48 1.99214 2
527 1000 48 1.9921 2
528 1000 48 1.99206 2
529 1000 48 1.99203 2
530 1000 48 1.99199 2
531 1000 48 1.99195 2
532 1000 48 1.99191 2
533 1000 48 1.99188 2
534 1000 48 1.99184 2
535 1000 48 1.9918 2
536 1000 48 1.99176 2
537 1000 48 1.99172 2
538 1000 48 1.99169 2
539 1000 48 1.99165 2
540 1000 48 1.99161 2
541 1000 48 1.99157 2
542 1000 48 1.99153 2
543 1000 48 1.99149 2
544 1000 48 1.99146 2
545 1000 48 1.99142 2
546 1000 48 1.99138 2
547 1000 48 1.99134 2
548 1000 48 1.9913 2
549 1000 48 1.99127 2
550 1000 48 1.99123 2
551 1000 48 1.99119 2
552 1000 48 1.99115 2
553 1000 48 1.99111 2
554 1000 48 1.99108 2
555 1000 48 1.99104 2
556 1000 48 1.991 2
557 1000 48 1.99096 2
558 1000 48 1.99092 2
559 1000 48 1.99088 2
560 1000 48 1.99085 2
561 1000 48 1.99081 2
562 1000 48 1.99077 2
563 1000 48 1.99073 2
564 1000 48 1.99069 2
565 1000 48 1.99065 2
566 1000 48 1.99062 2
567 1000 48 1.99058 2
568 1000 48 1.99054 2
569 1000 48 1.9905 2
570 1000 48 1.99046 2
571 1000 48 1.99042 2
572 1000 48 1.99039 2
573 1000 48 1.99035 2
574 1000 48 1.99031 2
575 1000 48 1.99027 2
576 1000 48 1.99023 2
577 1000 48 1.99019 2
578 1000 48 1.99016 2
579 1000 48 1.99012 2
580 1000 48 1.99008 2
581 1000 48 1.99004 2
582 1000 48 1.99 2
583 1000 48 1.98996 2
584 1000 48 1.98993 2
585 1000 48 1.98989 2
586 1000 48 1.98985 2
587 1000 48 1.98981 2
588 1000 48 1.98977 2
589 1000 48 1.98973 2
590 1000 49 1.9897 2
591 1000 49 1.98966 2
592 1000 49 1.98962 2
593 1000 49 1.98958 2
594 1000 49 1.98954 2
595 1000 49 1.9895 2
596 1000 49 1.98947 2
597 1000 49 1.98943 2
598 1000 49 1.98939 2
599 1000 49 1.98935 2
600 1000 49 1.98931 2
601 1000 49 1.98927 2
602 1000 49 1.98924 2
603 1000 49 1.9892 2
604 1000 49 1.98916 2
605 1000 49 1.98912 2
606 1000 49 1.98908 2
607 1000 49 1.98904 2
608 1000 49 1.98901 2
609 1000 49 1.98897 2
610 1000 49 1.98893 2
611 1000 49 1.98889 2
612 1000 49 1.98885 2
613 1000 49 1.98882 2
614 1000 49 1.98878 2
615 1000 49 1.98874 2
616 1000 49 1.9887 2
617 1000 49 1.98866 2
618 1000 49 1.98862 2
619 1000 49 1.98859 2
620 1000 49 1.98855 2
621 1000 49 1.98851 2
622 1000 49 1.98847 2
623 1000 49 1.98843 2
624 1000 49 1.9884 2
625 1000 49 1.98836 2
626 1000 49 1.98832 2
627 1000 49 1.98828 2
628 1000 49 1.98824 2
629 1000 49 1.98821 2
630 1000 49 1.98817 2
631 1000 49 1.98813 2
632 1000 49 1.98809 2
633 1000 49 1.98805 2
634 1000 49 1.98802 2
635 1000 49 1.98798 2
636 1000 49 1.98794 2
637 1000 49 1.9879 2
638 1000 49 1.98786 2
639 1000 49 1.98783 2
640 1000 49 1.98779 2
641 1000 49 1.98775 2
642 1000 49 1.98771 2
643 1000 49 1.98767 2
644 1000 49 1.98764 2
645 1000 49 1.9876 2
646 1000 49 1.98756 2
647 1000 49 1.98752 2
648 1000 49 1.98749 2
649 1000 49 1.98745 2
650 1000 49 1.98741 2
651 1000 49 1.98737 2
652 1000 49 1.98734 2
